ID	Parameter	English	Chinese	Pinyin	Pla	CW-QY	W-SZP	E-DC	XZ	MD	Eka	YL
960	318.0	older woman	老女人	lǎonǚrén	a²pʰi²	a²¹fi²¹mu²¹	a²¹tsʰɿ²¹ma³³	a²¹pʰi²¹ma²¹	a²¹tsʰɿ²¹mo³³	a²¹pʰi²¹ma²¹	a³³pʰi³³ma²¹	tsʰu³³mu²¹ma³³
961	46.0	three days ago	大前天	dàqiántiān	ʃi̠Hɣu²ʔni³	ʂʅ³³wuŋ²³	ʂʅ³³woŋ³³, ʂʅ³³wu²¹	sɿ³³wu²¹li³³nɛ³³	ʂʅ³³wu²¹ɲi³³	ɕi³³wu²¹ni³³	sɿ⁵³sɿ⁵⁵mi²⁴	sɿ³³wu²¹ni³³
962	320.0	girl	青年女人	qīngnián nǚrén	su¹le̠ᶫma³	sɿ⁵⁵lɛ̠²¹ma³³	zɛ²¹mə²¹za²¹	sɿ⁵⁵li⁴²mɔ³³	za²¹mɛ˞²¹zo²¹	dʒo²¹mɛ²¹lɛ²¹	zo³³mi³³jo²¹	za²¹mɛ²¹ə³³nə³³
963	322.0	enemy	敌人	dírén		ti³³ʐɛn³³	tsʰu⁴⁴tsʰɿ²¹	tsʰu²¹pʰɔ²¹sɿ⁵⁵	hə̃³³la²¹diɛ³³	kʰɨ²¹jo²¹	tsa⁵⁵kʰɨ⁵⁵jo³¹	
964	323.0	host	主人	zhǔrén	si²pʰa²		wu⁵⁵sɿ²¹pʰa²¹	i⁵⁵kə³³sɿ⁵⁵, ɕi²¹pʰɔ²¹	ja⁴⁴dʑy⁴⁴	ɕi⁵⁵pʰo²¹	ɛ²¹ɕi²⁴po̠ʔ²¹	
965	323.1	host	主人	zhǔrén	si²pʰa²		wu⁵⁵sɿ²¹pʰa²¹	i⁵⁵kə³³sɿ⁵⁵, ɕi²¹pʰɔ²¹	ja⁴⁴dʑy⁴⁴		ɛ²¹ɕi²⁴po̠ʔ²¹	sɿ²¹ma³³
966	324.0	guest	客人	kèrén	se¹ɣe³	si⁵⁵ŋ̩²¹, siŋ̩⁵³	se⁵⁵ɣɨ³³		tʂʰa²¹pɛi³³		ɕi³³ve³³	sɿ⁵⁵vei³³
967	324.1	guest	客人	kèrén	se¹ve³	si⁵⁵ŋ̩²¹	se⁵⁵ɣɨ³³	ɕi⁵⁵mi²¹	tʂʰa²¹pɛi³³	sɛ⁵⁵vɛ³³	ɕi³³ve³³	sɿ⁵⁵vei³³
968	325.0	lame person	瘸子/跛子	quézi/bǒzi	kʰi¹pe³	kʰɨ⁵⁵tʰaŋ³³	kʰɨ⁴⁴pɛ²¹	tɕʰi⁵⁵tɛ²¹	kʰɨ⁴⁵tɛi²¹	pɛ²¹tɛ²¹	bɨʲ⁵³luŋ²⁴la³³ko²¹	kɛ˞³³vv̩²¹pai³³la²¹
969	325.1	lame person	瘸子/跛子	quézi/bǒzi	kʰi¹pʰa³							
970	326.0	official	官	guān	dzi²/³	a⁵⁵ɣɨ²¹a⁵⁵dzɿ³³	a⁴⁴dzɿ³³	sei³¹pʰɔ²¹, dzɿ²¹			va²⁴tɛ²¹	ɤ̪²¹
971	327.0	high official	大官	dàguān	dzi²/³		dzɿ²⁴di²⁴	sei³¹pʰɔ²¹ɣɛ²¹	ja³³ɣɛ˞²¹		va²⁴tɛ²¹ja³³ko²¹	ɤ̪²¹ɣɛ˞²¹
972	328.0	low official	小官	xiǎoguān	dzi²/³		dzɿ²⁴u²⁴	sei³¹pʰɔ²¹ja⁵⁵	ja³³ɣɛ˞²¹tɛ˞³³zo²¹	wu⁵⁵ɕi⁵⁵	va²⁴tɛ²¹za⁵⁵ko²¹	ɤ̪²¹za²¹
973	329.0	emperor	皇帝	huángdì	vu¹te²	huaŋ²¹ti³³	dzɿ²¹	ɣɔ²⁴tɛ²¹pɔ²⁴	ja³³dzɿ³³mo³³	wu⁵⁵tɛ²¹	va²⁴tɛ²¹hwaŋ²¹ti²⁴	huan²¹ti³³
974	333.0	bride	新娘	xīnniáng		kʰɨ²¹ma³³lɛ̠²¹xɨ̠²¹	kʰɨ²¹ma³³lei⁴⁴xɨʔ⁵³	tɕʰi²¹mɔ³³ɕi²¹	za²¹mɛ˞²¹xɨ³³mo³³	kʰɨ²¹mo³³xɨ²¹	kʰɨ²¹mo³³xɨʲ⁵⁵jo³¹	ma²¹nə³³xɨ⁵³
975	334.0	groom	新郎	xīnláng				mei⁴²ɣə²⁴ɕi²¹	zo²¹xɨ³³mo³³	mɨ²¹xɨ²¹	mɨ²⁴xɨʲ⁵⁵jo³¹	m̩²¹dzɛ³³xɨ⁵³
976	57.0	three years ago	大前年	dàqiántiān	ʃi̠Hɣu²ni̠H	ʂʅ³³wu²¹ɲiɛ̠³³si⁵⁵	ʂʅ⁴⁴wu²¹ni⁴⁴	sɿ³³wu²¹nei³³sə⁵⁵	ʂʅ³³wu²¹nɛi̠³³	ɕi³³wu²¹ni̠³³	sɿ⁵³sɿ⁵⁵nɨ̠³³	sɿ³³wu²¹i⁵³
977	342.0	GP mother	祖母	zǔmǔ	a¹maŋ²/tʰe¹	a⁵⁵mu²¹	a⁴⁴tʰai⁴⁴	a²¹tʰei⁵⁵	a³⁵ma²¹	a²¹pʰi²¹liŋ⁵⁵	a²⁴pʰi²¹leŋ⁵³	a⁵⁵tsu²¹ma³³
978	342.1	GP mother	祖母	zǔmǔ	a¹maŋ²/tʰe¹		a⁴⁴tʰai⁴⁴		a³⁵ma²¹		a²⁴pʰi²¹leŋ⁵³	a⁵⁵tsu²¹ma³³
979	88.0	dragon	龙	lóng	lu²	ləŋ²¹	lv̩²¹	lɤ̪²¹	lɤ̪˞³¹	ɣɨ⁵⁵dʒu²¹	o²⁴dzu²¹	lɤ̪²¹
980	351.0	siblings	兄弟姐妹	xiōngdìjiěmèi		n̩⁵⁵ʔny⁵⁵	ne²⁴za²¹ne²⁴ma³³	vei⁴²niɛ²⁴tsʰa²¹zɔ³³	a³³tsɿ³³ɲɛ˞²⁴mo³³	ɲɛ⁵⁵jo²¹ɲɛ⁵⁵mo³³	pʰɨ²¹nɛ²⁴nɛ²¹mo³³	a⁵⁵kɨ³³a⁵⁵tʰai³³
981	352.0	oldest sibling	老大				za²¹ɣɛ²¹		pa²¹tɛi²¹			a⁵⁵mɛ˞²¹
982	353.0	second sibling	老二				za²¹lɛ⁵³					ɛ˞³³mɛ˞²¹
983	354.0	third sibling	老三									sa³³mɛ˞²¹
984	354.1	youngest child	老幺				za²¹u⁴⁴					
985	115.0	pheasant	野鸟/野鸡	zhì	a¹ʃu²	a⁵⁵ʂə²¹	a⁵⁵ʂv̩²¹	sɤ̪²¹	dy²¹ʂʅ²¹	a⁵⁵ji̠³³ka²¹	to³³xo²¹	to²¹so²¹
986	117.2	owl	猫头鹰	xiāo/māotóuyīng	xi¹hu³							jɛ˞⁵⁵xu³³
987	366.0	ancestor	祖先	zǔxiān	pʰi²pʰa²	a²¹fi²¹a²¹pʰa²¹	tsʰɿ²¹pʰa²¹	pʰɔ²¹pʰɔ²¹	nɛi²¹tsʰɿ²¹	a²¹pʰi²¹a²¹po⁵⁵	ni²⁴tʰa²⁴tsʰa⁵⁵ma²¹	pʰi²¹pʰa²¹
988	366.1	ancestor	祖先	zǔxiān	pʰi²pʰa²	a²¹fi²¹a²¹pʰa²¹	tsʰɿ²¹pʰa²¹		nɛi²¹tsʰɿ²¹		ni²⁴tʰa²⁴tsʰa⁵⁵ma²¹	pʰi²¹pʰa²¹
989	368.0	father's BW	伯母	shěnshěn	ta⁵⁵ma³³	pa²¹ti̤²¹ma³³ko³³	ta⁴⁴ma³³	a⁵⁵ta⁵⁵mɔ³³	ta⁵⁵ma³³	a⁵⁵jɛ²¹mo³³	a²⁴mo³³	ta⁵⁵ma³³
990	370.0	father's YB	叔叔	shūshū	a¹ʒe³	a⁵⁵ʝi²¹	a⁴⁴ji³³	a⁵⁵ʝi³³	a⁴⁴ʝi³³	a⁵⁵jɛ²¹	a²¹va²⁴	a⁵⁵ʝei³³
991	375.0	father+children (CLF)	三父子		pa̠ᶫla²	pa̠²¹la̤²¹	pa⁵⁵la²¹	pu⁴²lu²¹	pʰo²¹lo²¹	pɑ̠²¹lɑ²¹	a²⁴vo³³zo²¹	pa⁵⁵la²¹
992	376.0	mother+children (CLF)	三母子		ʔma³la²	ʔma³³la̤²¹	ma³³la²¹	mɔ³³lɔ²¹	mo³³lo²¹	mo³³lo²¹	a³³mo³³zo²¹	ma⁵⁵la²¹
993	377.0	grandfather+grandchildren (CLF)	三爷孙		pi²la²	pi²¹la̤²¹	tsɿ²¹la²¹	pʰi²¹lɔ²¹	tsʰo²¹lo²¹		a²⁴po²⁴li³³puɛ⁴²jo²¹	pʰi²¹li²¹
994	378.0	grandmother+grandchildren (CLF)	三奶孙		pi²la²	pi²¹la̤²¹	tsɿ²¹la²¹	pʰi²¹lɔ²¹	tsʰo²¹lo²¹		a²⁴pʰi²¹li³³puɛ⁴²jo²¹	pʰi²¹li²¹
995	133.0	wasp	黄蜂	huángfēng	bja²tu¹	ba̤²¹də⁵⁵	bɑ²¹tv̩²⁴				dʑi³³dzo³³bo²¹	ba²²to³³sɛ˞³³
996	384.0	beam [main]	梁(主)	liáng		li⁵⁵mu⁵⁵kaŋ³³		wa²¹tə²¹	liaŋ²¹	a⁵⁵tʃa⁵⁵mo³³	tə⁵⁵lə²¹	liaŋ³¹
997	135.1	dragonfly	蜻蜓	qīngtíng	dʒɛ²m̩²kʰa³la³	dʑɛ̤ŋ²¹kʰa³³la³³	dʑɛ²¹m̩²¹pa³³kʰa³³la³³	dɔn²¹dɔn²¹kʰɛ³³lɛ³³	ɣɨ²⁴tʰɤ̪˞²¹ta³³kue⁴⁴lu⁴⁴		dza⁵⁵pa²¹tɕi³³li²⁴	tɕʰiŋ³³tʰiŋ³³
998	389.0	fire-pit	火塘	huǒtáng	a¹to̠ᶫbe̠ᶫ	a⁵⁵to̠²¹bɛ̠²¹	a⁴⁴tu⁴⁴lu⁴⁴be⁵³, a⁴⁴tu⁴⁴lu⁴⁴ka⁵³	a⁵⁵tu⁴²bei⁴²	a³³tu³³bɛi³³	a⁵⁵to²¹kʰu²¹pɨ⁵⁵	a²⁴tu̠ʔ³¹kʰu³³bi²¹	a⁴⁴tu⁴⁴bei⁵³
999	138.1	grasshopper	蚱蜢	zhàměng	tʃɛ¹pu¹	a⁵⁵pa̠²¹tʂə⁵⁵fv̩⁵⁵	pɛ˞⁴⁴tʂu⁴⁴	tsa⁵⁵kɔ⁵⁵	pu⁵⁵tʂu⁵⁵lu⁵³	tɕɛ⁵⁵pu⁵⁵	pɨ³³tɕɛ³³lɛ³³	tsa³³pu³³
1000	396.0	shrine; temple	庙	miào	ne²he¹	ŋ̩²¹hi⁵⁵	nɛ²¹hẽ²⁴	kɛ⁵⁵pei⁵⁵xei⁵⁵	nɛi²¹hĩ⁵⁵mo³³	va²¹	va̠³¹	nai²¹hei³³
1001	398.1	graveyard	墓地	mùdì	mo̠H/ᶫbɛ¹kʰy¹	mo̠²¹bɛ⁵⁵kʰy⁵⁵	mv̩⁴⁴ba³³tɛ³³	mu⁴²bɛ²⁴kʰə⁵⁵	mo²⁴bɛ˞²⁴ty²¹gɨ²⁴	liŋ²¹dʒo⁵⁵ti⁵⁵	li²¹dzu³³a⁵⁵	
1002	399.0	head-wrap	头巾	tóujīn		ʔmɛ⁵⁵n̩²¹ɕɛ³³	ʂʅ²¹ba²¹	ɕu³³tɕi⁵⁵mɔ³³	ɕi³⁵kʰɨ⁵³	a⁵⁵tʃo³³	pʰa²⁴tɕi²¹	m̩²¹tʰə⁵³
1003	400.0	headdress	饰头巾	shìtóujīn		ʔmɛ⁵⁵n̩²¹ɕɛ³³	n̩²¹tsɿ²¹liaŋ²⁴mao⁴⁴	ɕu³³tɕi⁵⁵zɔ²¹	ɕi³⁵kʰɨ⁵³sy²¹tsɿ²¹	a²¹ta²¹	ɛ⁵⁵bɛ³³	
1004	165.0	sorghum	高粱	gāoliang	ʔlu²	ʔlə²¹	lv̩⁵³		kao⁵⁵liaŋ⁵⁵		ko³³lɛŋ²¹	kao³³liaŋ³³
1005	187.1	persimmon	柿子	shìzi	mu²bɛ¹	m̩²¹bɛ⁵⁵	m̩²¹bɛ²⁴	m̩²¹bɛ²⁴	ʝi³⁵³bɛ˞²⁴ʔø³³		a²⁴tʰo⁵⁵ɕi³³pʰi²¹	a⁵⁵m̩²¹bɛ˞³³
1006	405.0	clothing	衣服	yīfú	pʰja(ŋ)¹	pʰu⁵⁵	pʰu²⁴	pʰia⁵⁵	pʰa⁴⁵³	lo²¹pʰa⁵⁵	lo²¹pʰa²⁴	pʰa³³
1007	406.0	collar	衣领	yīlǐng	pʰja(ŋ)¹kʰjɛ²	pʰu⁵⁵kʰɛ²¹	pʰu²⁴kʰɛ²¹	pʰia⁵⁵kʰɛ²¹tsɿ³³	pʰa³⁵kʰɛ˞²¹	pʰa⁵⁵lu²¹kʰu⁵⁵	lo²¹pʰa²⁴la³³tsuɛ⁵⁵jo³¹	pʰa³³kʰɛ˞²¹
1008	407.0	sleeve	袖子	xiùzi	pʰja(ŋ)¹le̠ᶫ	pʰu⁵⁵lɛ̠²¹	pʰu²⁴le⁵³	lei⁴²di²¹	pʰa³⁵lɛi³³	pʰa⁵⁵lɨ²¹ɣɨ²¹	lo²¹pʰa²⁴li̠³¹	pʰa³³nai⁵³
1009	409.0	palm bark rain cape	蓑衣	suōyī	ga¹by¹	gɨ⁵⁵by⁵⁵	ɣa²⁴by²⁴	dʑi²⁴bə²⁴	go²¹by²⁴	ɕi⁵⁵kʰuai⁵⁵	tsu²¹kʰuɛʲ²⁴	ga³³bɨ³³
1010	203.0	stick	棍子	gùnzi	ʔmɛ¹tu¹	ʔmɛ⁵⁵tə⁵⁵kʰɨ⁵⁵	mɛ⁴⁴tu⁴⁴	mɛ⁵⁵tɤ̪⁵⁵	mɛ˞⁴⁴tɛ˞⁴⁴	a⁵⁵tũ⁵⁵	pa²⁴tsʰa²¹	ka⁴⁴tsɿ³³
1011	411.0	belt	裤带	kùdài		ʔla̤²¹kʰɨ⁵⁵ɕɛ³³pɛ³³tɕa³³	la²¹kʰv̩³³ʂʅ⁴⁴pa³³tʂã³³	lɔ²¹kʰu⁵⁵sɛ²¹	lo²¹pɛ˞³³ʂʅ²¹	lo²¹po³³tso³³	lo̠ʔ²¹kʰu²⁴	la²¹kʰo³³sɛ˞²¹
1012	414.0	baby sling	背兜	bēidōu		a⁵⁵kɨ⁵⁵ti³³	dzɿ²¹ti³³	mɛ⁵⁵bu³³	mɛ˞³⁵dzɿ³³	a⁵⁵tso³³	a³³nio⁵³ɛ⁵⁵bɛ³³	ɛ˞⁵⁵vv̩⁵³
1013	220.0	body	身体	shēntǐ	gu¹tsʰɿ²/³	gɨ⁵⁵tʂʰʅ̥²¹	gv̩²⁴tʂʰʅ²¹	gə²⁴tsʰɿ⁵⁵	go²⁴tʂʰʅ²¹dy²¹	gɨ⁵⁵tsʰɿ²¹	ɛ²¹tu³³	go³³tsʰɿ³³
1014	287.0	bladder?	膀胱	pángguāng	tsʰi²pʰu²	sɛ²¹pi²¹	tsʰɛ̃n²¹fv̩²¹	sa²¹tʰɤ̪²¹	saŋ²¹pʰu²¹lu²¹	ɕi⁵⁵pʰu²¹	ɛ²¹tɕi³⁵pʰv̩²¹	tsʰa²¹pʰo²¹lo³³
1015	421.0	porridge	粥	zhōu	烂饭	dza⁵⁵hə²¹ɣɨ²⁴	dzã⁴⁴hõ²¹	dzɔ²⁴xa²¹	dzo²⁴ha²¹	dzo⁵⁵ma²¹næ³³	dzo²⁴xa̠²¹na⁵⁵jo³¹	dza²¹fv̩²¹la⁵³
1016	426.0	soup	汤 (菜汤)	tāng	ɣaŋ²ɣi¹	wu²¹tɕɛ̠²¹ɣɨ⁵⁵	wu²¹tɕi⁵⁵ɣɨ³³	ji²⁴tsɿ⁵⁵	ɣa²¹ɣɨ²⁴	a²¹tɕɛ²¹ɣɨ⁵⁵	ɛ²¹ɣɨ²⁴	m̩²¹m̩³³
1017	429.0	sugar	糖	táng	ʃa¹ba²	ʂa⁵⁵ba²¹				bɨ²¹tʃʰɿ⁵⁵	pɨ²¹tsʰɿ²⁴	
1018	429.1	sugar	糖	táng	ʃa¹da²		ʂa⁵⁵da²¹	sɔ⁵⁵ta²¹	tʂʰʅ³⁵mv̩˞²¹			
1019	430.0	jaggery	红糖	cūtáng	ʃa¹da²(ʔni¹)	ʂa⁵⁵da⁵⁵	ʂa⁵⁵da²¹ĩ⁴⁴	xɔ²¹tʰa²¹	tʂʰʅ³⁵mv̩˞²¹	bɨ²¹tʃʰɿ⁵⁵tɛ³³	pɨ²¹tsʰɿ²⁴ni²⁴	
1020	319.0	boy	青年男人	qīngnián nánrén	su¹le̠ᶫpa̠ᶫ	sɿ⁵⁵lɛ̠²¹pa̠²¹	za²¹le⁵³	sɿ⁵⁵li⁴²pu⁴²	zo²¹ny⁵⁵zo²¹	su⁵⁵lu²¹pɑ²¹	tsʰa³³buʲ⁵⁵jo³¹	sɛ³³lɛ⁵⁵za²¹
1021	433.0	kitchen knife	菜刀	càidāo	a¹tʰa²ba²	a⁵⁵tʰa̤²¹ba̤²¹	a⁵⁵tʰa²¹ba²¹	ja²¹ɣə²⁴a⁵⁵tʰɔ²¹	a³⁵tʰo²¹bo²¹tao³³	a⁵⁵tʰɛ²¹lɛ²¹	a²⁴tʰo³³pʰa̠³³pʰaʲ⁵⁵jo³¹	bo³³tao³³
1022	434.0	pointed knife	尖刀	jiāndāo	a¹tʰa²le̠ᶫ	a⁵⁵tʰa̤²¹lɛ̠²¹	a⁵⁵tʰa²¹le⁵³	a⁵⁵tʰɔ²¹nei⁴²	a³⁵tʰo²¹n̩²¹tɕʰy⁵³	a⁵⁵tʰɛ²¹lɛ²¹n̩²¹də⁵⁵pu⁵⁵	a²⁴tʰo³³nio⁴²	a⁵⁵tʰa²¹tʰi³³
1023	336.0	widower	寡郎	guānfū	me²tʃʰu²pa̠ᶫ	lɛ̠³³pa̠²¹	ʐu⁴⁴pa⁵⁵te²¹	mɛ²¹tsʰɿ²¹pu⁴²	ʐu³³tʂʰʅ²¹	mɛ²¹tʃʰu²¹pɑ²¹	po³³tsʰɿ³³po̠ʔ²¹	mɛ˞²¹tsʰɿ²¹pa⁵³
1024	341.0	GP father	祖父	zǔfù	a¹tsu²	a⁵⁵ku³³	a⁵⁵tsu²¹	a³³ma²¹	a³⁵ma²¹	a²¹po⁵⁵liŋ⁵⁵	a²⁴po²⁴leŋ⁵³	a⁵⁵tsu²¹pa⁵³
1025	439.0	yoke	牛轭	niúè	la²le̠H	la̤²¹lɛ̠³³	la²¹lɛ³³	lɔ²¹lei³³	lo²¹lɛi³³	i⁵⁵kai⁵¹	a²⁴ni²¹ɛ²⁴	a⁵⁵ni⁵⁵wan²¹taŋ³³
1026	443.0	awl	锥子	zhuīzǐ		tɕao̠²¹sa³³		zɿ³³zɔ²¹	xu³⁵tɕy³³	mo⁵⁵wo̠²¹	mɛ⁵³jɔ²¹	tsuei³³tsɿ³³
1027	445.0	ball (of thread)	线球	xiànqiú		kʰɨ⁵⁵ʔly³³	kʰɨ²⁴tɛ³³	xɔ²⁴xə³³kʰɔ³³	kʰɨ⁴⁵³tʰɛ˞³³ø³³	kʰi⁵⁵tso³³sɛ²¹	kʰi⁵⁵tso̠³³dɛ²¹	kʰɨ³³tʰɛ˞²¹
1028	446.0	rope; string	绳子	shéngzi		i⁵⁵tsʰɿ⁵⁵	he/ĩ⁴⁴tsʰɿ⁴⁴	xə³³tɕi⁵⁵	hɛ˞̃⁴⁵tsʰɿ⁵³	po³³tso³³	pi⁵⁵tso³³	vɛ˞³³tsa³³
1029	450.0	bamboo sieve; sifter (fine)	筛子(细的)	shāizi	ʔva¹kɨ¹	ʔva⁵⁵kʰɨ⁵⁵tsɿ³³	va⁴⁴kɨ⁴⁴	ɔ⁵⁵tɕi⁵⁵ku⁵⁵	ɤ⁵⁵ku⁵⁵tɕi⁵³	oŋ⁵⁵ki⁵⁵	o²⁴ki²⁴	aŋ²¹kɨ³³
1030	451.0	whetstone	磨刀石	mó	a¹tʰa²sɛ²ka¹lu̠H	a⁵⁵tʰa̤²¹sɛ²¹ka⁵⁵lə³³	ɸu²⁴sɛ²¹lu³³	a⁵⁵tʰɔ²¹sɛ²¹ku⁵⁵lu³³	lu³⁵sa²¹mɛi²⁴	a⁵⁵tʰo²¹sɛ²¹ko⁵⁵lu³³	a²⁴tʰo³³ɕɛ²¹o²⁴lo³³kʰɛ³³	xɨ³³sɛ²¹lo⁵³
1031	452.0	millstone	石磨	shímò	ni̠ᶫ	ɲiɛ̠²¹lə²¹	nø⁵³	ku⁵⁵lu³³wei²¹	ɲi̠³³	mo⁵⁵	moŋ²⁴	wai⁵³
1032	454.0	chisel	凿子	zāozi		tso³³tsɿ³³		zɿ³³zɔ²¹	xu³⁵tʂʰʅ²¹	xɨ⁵⁵tʰɛ²¹	dzuʲo⁵³	
1033	456.0	rice pounder	米臼	mǐjiù		tsʰa²¹lu²¹	tsa⁴⁴la⁴⁴be⁴⁴	lei⁴²tsʰə⁵⁵	tsʰao²¹py⁵⁵kv̩³³	kʰo²¹, kʰoŋ²¹	tɕʰi³³nɛ²⁴	lei⁵⁵tsʰə³³
1034	457.0	mortar	臼	jiù		tsʰa²¹lu²¹	tsʰa²¹tsu⁴⁴pʰɛ²¹	tsʰɔ²¹tei²¹tsʰə⁵⁵	tsʰo²¹dɛi²¹gɨ⁴⁵³	ma⁵⁵pʰiŋ²¹kʰoŋ²¹	tsʰa³³bio⁵³	tsʰa²¹tsʰo³³
1035	458.0	pestle	杵	chǔ		tsʰa²¹ti²¹sɿ³³	tsʰa²¹tsu⁴⁴vv̩²¹ma³³	tei²¹m̩³³pə²¹		ma⁵⁵pʰiŋ²¹kʰoŋ²¹liŋ²¹tsʰɿ⁵⁵	tsʰa³³bio⁵³ɣɨ²¹do²⁴	tsʰa²¹tsʰo³³bi⁵⁵bi⁵³
1036	465.0	washbasin	盆	liǎnpén	laŋ²	pʰu²¹ʔmɛ³³tsʰɿ²¹pʰu̥²¹	lu²¹	pʰu²¹mei³³tɕʰi²¹la²¹	pʰa²¹tsʰɿ²¹la²¹	pan²¹doŋ³³	va³³pʰaŋ²¹	pʰa²¹ni⁵⁵tsʰɿ²¹lo²¹
1037	466.0	bag; sack	袋子	dàizi	la¹ʔli̠ᶫ	pa̠²¹kʰɛ ̥²¹	dzɿ²¹nv̩⁴⁴	mɛ⁵⁵li²¹	lo³⁵ʐʅ³³	mɛ³³nɛ³³	tʰu³³tai²⁴	dzɿ²¹no³³
1038	468.0	fine toothed comb	细密梳子	xìmìshūzi	m̩²pjɨ²dzi¹	m̩²¹pʉ²¹dzɿ⁵⁵	m̩²¹pɛ²¹dzɿ²⁴	m̩²¹pə²¹tɕi³³zɔ²¹	m̩²¹pɨ²¹ɕi⁵⁵zo²¹	ŋ²¹pɨ²¹dʑi⁵⁵	ɛ³³pɨ²¹dʑio⁵³	m̩²¹pai²¹mo⁵³
1039	469.0	bowl	碗	wǎn	a¹kjɛ²	a⁵⁵kai²¹	a⁵⁵kai²¹	kei²¹	a⁵⁵qai²¹	i⁵⁵ɕɛ²¹	ku⁵⁵ɕi²¹	a⁵⁵kai⁴¹
1040	470.0	small bowl	小碗	xiǎowǎn	a¹kje²za²	a⁵⁵kai²¹	a⁵⁵kai²¹za²¹	kei²¹zɔ²¹	a⁵⁵qai²¹tɛ˞³³zo²¹	i⁵⁵ɕɛ²¹jo²¹	ku⁵⁵ɕi³³jo³¹	a⁵⁵kai⁴¹za²¹
1041	471.0	large bowl	大碗	dàwǎn		pa⁵⁵tʰu³³	a⁵⁵kai²¹pa²¹tɛ²¹	pa⁵⁵	a⁵⁵qai²¹ti³³mo³³	i⁵⁵ɕɛ²¹mo³³	ku⁵⁵ɕi²¹vaŋ²⁴ko²¹	a⁵⁵kai⁴¹ɣɛ˞²¹
1042	475.0	firewood	柴	chái	si̠H	sɿ̠³³	sɿ⁴⁴	ɕi³³	sɿ⁴⁵³	ɕi³³	ɕi̠³³	sɿ⁵³
1043	476.0	manure; fertilizer	粪 (肥料)	fèn	kʰi²	kʰɨ̥²¹	kʰɨ²¹	tɕʰi²¹	kʰɨ²¹	kʰi²¹	kʰɨ²¹	kʰɨ²¹
1044	422.0	oil	油	yóu	ʒu¹ɣɨ¹	ʐu⁵⁵ɣ̩ɨ⁵⁵	ʐu²⁴ɣɨ³⁴	zə²⁴	jo²⁴ɣɨ³⁴	la²¹maŋ³³	na²¹maŋ⁵³	zɨ³³
1045	480.0	money	钱	qián	gi²pʰe²	gɨ²¹pʰi²¹	ga²¹pʰe²¹	ʝi²¹mɔ³³	gɨ²¹pʰɛi³³, gɨ²¹pa³³	pʰi⁵⁵dʑɛ²¹	na²⁴dʑi²¹	ɣɨ³³ma³³
1046	480.1	money	钱	qián	gi²pʰe²	gɨ²¹pʰi²¹	ga²¹pʰe²¹		gɨ²¹pʰɛi³³, gɨ²¹pa³³	pʰi⁵⁵dʑɛ²¹	na²⁴dʑi²¹	ɣɨ³³ma³³
1047	463.0	tub; bucket	桶	tǒng	ɣɨ¹tʰu²	ɣɨ⁵⁵tʰə̤²¹	ɣɨ²⁴tʰv̩²¹	tʰɤ̪²¹	ɣɨ²⁴tʰv̩²¹	tʰoŋ²¹	xa³³tʰuŋ⁵³	ɣɨ³³tʰɤ̪²¹
1048	482.0	folksong	民歌／山歌	míngē		bɛ⁵⁵tsʰɛ⁵⁵	hẽ⁴⁴kv̩³³tʂɛ³³	kɔ³³tɕʰi⁵⁵	xai³⁵ko³³	bɛ⁵⁵ko³³	go²⁴mu²⁴	xai⁵³
1049	483.0	song	歌	gē		ko³³	ko³³		ko³³	ko³³		tsʰaŋ³³ku³³
1050	484.0	story	故事	gùshì		ko²¹pʉm²¹	ku²¹pə̃²¹	ku²¹pə²¹	ku⁵⁵tɕĩ³³	kam³³pɨm³³	ɛ²¹ku⁵³	ku²¹sɿ³³
1051	485.0	word (written)	字	zì		tʰiau²¹tsɿ⁵⁵	tʰiu²¹tsɿ⁴⁴	tsɿ⁵⁵	tʰa²¹ɣɨ²¹tsɿ⁵⁵	su²¹tu⁵⁵	su²¹mi³³	sɤ̪²¹
1052	464.0	barrel, ceramic	土罐	tǔguàn	ʔnu¹	ə⁵⁵lə⁵⁵pi⁵⁵	pɛ²⁴	ɤ̪⁵⁵	ɤ̪˞̃³⁵ø³³	tʰaŋ⁵³	o³³muʲo⁵³	õ³³
1053	487.1	sound; voice	声音	shēngyīn	se̠ᶫ	sɛ̠²¹	se⁵⁵ɣɨ³³		sɛi³³	ɕɛ²¹tʰə⁵⁵		
1054	496.0	boundary marker	边界记号	biánjiè		kɛ⁵⁵tɕʰi²¹a²¹gə⁵⁵	kʰɨ⁴⁴tv̩²¹	tɕi³³xu³³	gɨ²⁴	jɛ²¹dʑi²¹	kɨ²¹kəŋ⁵³	kai³³ɕĩ⁵³
1055	502.0	cage (e.g., for ducks)	笼	lóng		ty⁵⁵	a⁴⁴ni³³ty²⁴	lɔ²¹tsɿ³³	a⁵⁵ɲa³³ty⁵⁵y³³	kʰa³³lu⁵⁵	ka̠ʔ²¹fu³³	lo²¹lo²¹
1056	508.0	ritual tree	龙树	lóngshù			nɛ²¹dzɿ²⁴	lɤ̪²¹ɕi³³dzei²⁴	nɛi²¹dzɿ²⁴	nɛ²¹dʑi⁵⁵		
1057	531.0	spit	吐 (吐口水)	tù	pʰi̠ᶫ	fɛ̠²¹	ɛ⁵³	xue²¹	tsʰɿ̠³³	pʰi²¹	pʰi²¹	pʰai⁵³
